date,return
1997-08-06 04:00:00,0.3322805024554769
1998-01-02 05:00:00,0.23808767795776542
1996-07-18 04:00:00,0.23703451391781338
1998-01-06 05:00:00,0.19291474485792404
2025-04-09 04:00:00,0.15328847459654016
1997-07-11 04:00:00,0.14622490742778949
1999-10-14 04:00:00,0.14299637818920874
1998-10-09 04:00:00,0.13995772111581917
2008-10-13 04:00:00,0.13904928010808937
2000-03-01 05:00:00,0.13685800759129774
2004-10-14 04:00:00,0.13157267476766998
2001-04-19 04:00:00,0.12856595487543765
2008-11-24 05:00:00,0.1255750899841872
2020-03-13 04:00:00,0.11980795087783935
2006-07-20 04:00:00,0.1182992286610487
1999-04-27 04:00:00,0.11755831418207285
2001-04-18 04:00:00,0.11715590797765496
2003-05-05 04:00:00,0.1134913836693685
2004-07-15 04:00:00,0.11325327423129838
2004-11-22 05:00:00,0.11201708737305016
