timestamp,n_before,n_after,n_dropped
2025-10-25T21:29:55.370564+00:00,7546,7514,32
2025-10-25T22:07:56.877167+00:00,7546,7514,32
2025-10-25T22:08:25.799762+00:00,7546,7514,32
2025-10-25T22:09:04.402404+00:00,7546,7514,32
2025-10-26T00:56:28.303752+00:00,7546,7514,32
2025-10-28T01:03:14.316189+00:00,7546,7514,32
