expirationDate,optionType,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
2025-12-12,call,AAPL251212C00280000,2025-12-09 20:59:59+00:00,280.0,1.13,1.12,1.16,-0.58000004,-33.91813,82485.0,28309,0.1977619287109375,False,REGULAR,USD
2025-12-12,call,AAPL251212C00282500,2025-12-09 20:59:57+00:00,282.5,0.52,0.51,0.54,-0.40000004,-43.478264,40807.0,12365,0.1948322705078125,False,REGULAR,USD
2025-12-12,call,AAPL251212C00285000,2025-12-09 20:59:45+00:00,285.0,0.22,0.22,0.24,-0.24000001,-52.173912,43254.0,25078,0.19751779052734375,False,REGULAR,USD
2025-12-12,call,AAPL251212C00287500,2025-12-09 20:59:56+00:00,287.5,0.11,0.1,0.11,-0.120000005,-52.173912,27388.0,26871,0.20508607421874997,False,REGULAR,USD
2025-12-12,call,AAPL251212C00290000,2025-12-09 20:59:37+00:00,290.0,0.05,0.04,0.05,-0.06999999,-58.333332,13794.0,43639,0.21289849609375,False,REGULAR,USD
2025-12-12,call,AAPL251212C00292500,2025-12-09 20:59:19+00:00,292.5,0.02,0.02,0.04,-0.04,-66.66667,3881.0,7300,0.23828886718749998,False,REGULAR,USD
2025-12-12,call,AAPL251212C00295000,2025-12-09 20:59:15+00:00,295.0,0.02,0.02,0.03,-0.01,-33.333336,1298.0,9558,0.2617261328125,False,REGULAR,USD
2025-12-12,call,AAPL251212C00297500,2025-12-09 20:57:17+00:00,297.5,0.01,0.0,0.02,-0.02,-66.66667,1058.0,2981,0.27735097656249996,False,REGULAR,USD
2025-12-12,call,AAPL251212C00300000,2025-12-09 20:31:45+00:00,300.0,0.01,0.0,0.01,0.0,0.0,1926.0,10453,0.28125718749999995,False,REGULAR,USD
2025-12-12,call,AAPL251212C00302500,2025-12-09 20:23:37+00:00,302.5,0.01,0.0,0.01,0.0,0.0,51.0,214,0.31250687499999996,False,REGULAR,USD
2025-12-12,call,AAPL251212C00305000,2025-12-09 16:53:46+00:00,305.0,0.01,0.0,0.01,0.0,0.0,18.0,2004,0.335944140625,False,REGULAR,USD
2025-12-12,call,AAPL251212C00307500,2025-12-09 17:46:31+00:00,307.5,0.01,0.0,0.01,0.0,0.0,1.0,276,0.35938140625,False,REGULAR,USD
2025-12-12,call,AAPL251212C00310000,2025-12-09 18:18:49+00:00,310.0,0.01,0.0,0.01,0.0,0.0,3.0,2002,0.38281867187499996,False,REGULAR,USD
2025-12-12,call,AAPL251212C00315000,2025-12-08 18:23:47+00:00,315.0,0.01,0.0,0.01,0.0,0.0,1.0,1289,0.437505625,False,REGULAR,USD
2025-12-12,call,AAPL251212C00320000,2025-12-05 20:39:29+00:00,320.0,0.01,0.0,0.01,0.0,0.0,7.0,380,0.48438015625,False,REGULAR,USD
2025-12-12,call,AAPL251212C00325000,2025-12-05 15:56:33+00:00,325.0,0.01,0.0,0.01,0.0,0.0,5.0,222,0.500005,False,REGULAR,USD
2025-12-12,call,AAPL251212C00330000,2025-12-03 17:57:15+00:00,330.0,0.01,0.0,0.01,0.0,0.0,52.0,99,0.5468795312500001,False,REGULAR,USD
2025-12-12,call,AAPL251212C00335000,2025-11-28 17:25:27+00:00,335.0,0.01,0.0,0.01,0.0,0.0,11.0,45,0.57812921875,False,REGULAR,USD
2025-12-12,call,AAPL251212C00340000,2025-11-17 19:13:05+00:00,340.0,0.01,0.0,0.01,0.0,0.0,100.0,160,0.6250037500000001,False,REGULAR,USD
2025-12-12,call,AAPL251212C00345000,2025-11-28 16:58:34+00:00,345.0,0.01,0.0,0.01,0.0,0.0,5.0,9,0.6562534375000001,False,REGULAR,USD
2025-12-12,call,AAPL251212C00350000,2025-11-21 17:52:52+00:00,350.0,0.01,0.0,0.01,0.0,0.0,4.0,23,0.70312796875,False,REGULAR,USD
2025-12-12,call,AAPL251212C00365000,2025-12-05 20:38:53+00:00,365.0,0.01,0.0,0.01,0.0,0.0,1.0,4,0.8125018749999999,False,REGULAR,USD
2025-12-12,call,AAPL251212C00370000,2025-12-05 15:12:47+00:00,370.0,0.01,0.0,0.04,0.0,0.0,3.0,3,0.9687503125,False,REGULAR,USD
2025-12-12,call,AAPL251212C00380000,2025-11-21 17:52:54+00:00,380.0,0.01,0.0,0.01,0.0,0.0,2.0,2,0.937500625,False,REGULAR,USD
2025-12-12,call,AAPL251212C00390000,2025-12-09 15:01:09+00:00,390.0,0.01,0.0,0.01,0.0,0.0,1.0,1,0.98437515625,False,REGULAR,USD
2025-12-12,call,AAPL251212C00400000,2025-12-09 20:22:39+00:00,400.0,0.01,0.0,0.01,0.0,0.0,11.0,6,1.0625046875000002,False,REGULAR,USD
2025-12-12,put,AAPL251212P00110000,2025-12-05 16:35:31+00:00,110.0,0.01,0.0,0.01,0.0,0.0,2.0,3,2.6250034375,False,REGULAR,USD
2025-12-12,put,AAPL251212P00120000,2025-11-06 18:51:21+00:00,120.0,0.01,0.0,0.01,0.0,0.0,,1,2.3750040624999995,False,REGULAR,USD
2025-12-12,put,AAPL251212P00125000,2025-11-06 18:51:15+00:00,125.0,0.01,0.0,0.01,0.0,0.0,,1,2.2500043749999996,False,REGULAR,USD
2025-12-12,put,AAPL251212P00135000,2025-11-11 19:02:42+00:00,135.0,0.01,0.0,0.01,0.0,0.0,,1,2.0625048437499998,False,REGULAR,USD
2025-12-12,put,AAPL251212P00145000,2025-11-18 15:01:04+00:00,145.0,0.01,0.0,0.01,0.0,0.0,1.0,10,1.875000625,False,REGULAR,USD
2025-12-12,put,AAPL251212P00155000,2025-12-04 19:38:07+00:00,155.0,0.01,0.0,0.01,0.0,0.0,2.0,41,1.6875015625,False,REGULAR,USD
2025-12-12,put,AAPL251212P00165000,2025-12-03 16:24:17+00:00,165.0,0.01,0.0,0.01,0.0,0.0,5.0,5,1.5000025,False,REGULAR,USD
2025-12-12,put,AAPL251212P00170000,2025-12-01 14:45:06+00:00,170.0,0.01,0.0,0.03,0.0,0.0,2.0,79,1.5625021874999998,False,REGULAR,USD
2025-12-12,put,AAPL251212P00175000,2025-11-03 14:49:52+00:00,175.0,0.03,0.0,0.03,0.0,0.0,,10,1.484377578125,False,REGULAR,USD
2025-12-12,put,AAPL251212P00180000,2025-11-21 17:26:19+00:00,180.0,0.04,0.0,0.04,0.0,0.0,2.0,25,1.4375028125,False,REGULAR,USD
2025-12-12,put,AAPL251212P00185000,2025-12-02 19:23:29+00:00,185.0,0.01,0.0,0.03,0.0,0.0,12.0,28,1.3125034374999998,False,REGULAR,USD
2025-12-12,put,AAPL251212P00190000,2025-12-01 20:33:07+00:00,190.0,0.01,0.0,0.01,0.0,0.0,2.0,96,1.125004375,False,REGULAR,USD
