Date,NB_Article_Count,NB_Positive_Count,NB_Negative_Count,NB_Positive_Ratio,NB_Negative_Ratio,NB_Net_Sentiment,NB_Net_Sentiment_Ratio,NB_negative_Mean_Proba,NB_positive_Mean_Proba
1999-09-01,1,1,0,1.0,0.0,1,1.0,0.4171729154553306,0.5828270845446696
1999-09-28,1,1,0,1.0,0.0,1,1.0,0.1360092776938785,0.86399072230612
1999-10-06,1,1,0,1.0,0.0,1,1.0,0.4161243793261482,0.583875620673851
1999-11-02,1,1,0,1.0,0.0,1,1.0,0.39483548792652473,0.6051645120734764
1999-11-09,1,1,0,1.0,0.0,1,1.0,0.3019377934102028,0.698062206589797
1999-11-29,1,1,0,1.0,0.0,1,1.0,0.1123609731304524,0.8876390268695478
1999-12-07,1,0,1,0.0,1.0,-1,-1.0,0.5306736011547222,0.46932639884527755
1999-12-29,1,1,0,1.0,0.0,1,1.0,0.06342477903880075,0.9365752209611986
2000-01-10,1,1,0,1.0,0.0,1,1.0,0.0921777083767932,0.9078222916232063
2000-01-12,1,1,0,1.0,0.0,1,1.0,0.3299728242572804,0.6700271757427192
2000-01-14,1,1,0,1.0,0.0,1,1.0,0.154315516867501,0.8456844831325002
2000-01-20,1,1,0,1.0,0.0,1,1.0,0.08397945372685826,0.9160205462731411
2000-04-17,1,1,0,1.0,0.0,1,1.0,0.06107016162567811,0.9389298383743222
2000-04-21,1,1,0,1.0,0.0,1,1.0,0.1016233152766702,0.8983766847233287
2000-06-13,1,1,0,1.0,0.0,1,1.0,0.31419504930563186,0.6858049506943694
2000-08-07,1,1,0,1.0,0.0,1,1.0,0.12916157857048693,0.8708384214295138
2000-09-13,1,1,0,1.0,0.0,1,1.0,0.11908956757404338,0.8809104324259565
2000-12-07,1,1,0,1.0,0.0,1,1.0,0.40123415676294555,0.5987658432370538
2000-12-09,1,1,0,1.0,0.0,1,1.0,0.019315938308463742,0.9806840616915344
2000-12-15,2,2,0,1.0,0.0,2,1.0,0.30429647942213983,0.695703520577858
2001-01-03,1,1,0,1.0,0.0,1,1.0,0.13454813932723392,0.8654518606727639
2001-01-04,1,1,0,1.0,0.0,1,1.0,0.04471928115321988,0.9552807188467802
2001-01-05,1,1,0,1.0,0.0,1,1.0,0.07587025519564236,0.9241297448043579
2001-01-08,1,1,0,1.0,0.0,1,1.0,0.16033851779826355,0.8396614822017381
2001-01-12,1,1,0,1.0,0.0,1,1.0,0.06719247256653796,0.9328075274334633
2001-01-15,1,1,0,1.0,0.0,1,1.0,0.03831752384977844,0.9616824761502225
2001-01-18,1,1,0,1.0,0.0,1,1.0,0.023057885193748365,0.9769421148062523
2001-02-10,1,1,0,1.0,0.0,1,1.0,0.05416674338001612,0.9458332566199835
2001-03-16,1,1,0,1.0,0.0,1,1.0,0.026570231197969724,0.9734297688020308
2001-04-16,2,1,1,0.5,0.5,0,0.0,0.2946901009647726,0.7053098990352271
2001-04-25,1,0,1,0.0,1.0,-1,-1.0,0.5644561015018957,0.4355438984981044
2001-08-07,1,1,0,1.0,0.0,1,1.0,0.2489719651220806,0.7510280348779192
2001-08-27,1,0,1,0.0,1.0,-1,-1.0,0.5181057961659742,0.4818942038340275
2001-08-31,2,2,0,1.0,0.0,2,1.0,0.36342870525771154,0.6365712947422882
2001-09-26,1,0,1,0.0,1.0,-1,-1.0,0.5126980297450073,0.48730197025499244
2001-10-24,1,1,0,1.0,0.0,1,1.0,0.4233123757949795,0.5766876242050204
2001-12-03,1,1,0,1.0,0.0,1,1.0,0.05220330841885543,0.9477966915811431
2002-01-08,1,1,0,1.0,0.0,1,1.0,0.35663115778293764,0.6433688422170624
2002-01-11,1,1,0,1.0,0.0,1,1.0,0.2110117083686234,0.7889882916313755
2002-02-05,1,1,0,1.0,0.0,1,1.0,0.17636597687674124,0.8236340231232582
2002-05-14,1,1,0,1.0,0.0,1,1.0,0.27397349584486697,0.726026504155133
2002-06-19,1,1,0,1.0,0.0,1,1.0,0.014668080397981826,0.9853319196020172
2002-09-19,1,1,0,1.0,0.0,1,1.0,0.17350562021742436,0.8264943797825756
2002-12-28,1,1,0,1.0,0.0,1,1.0,0.17985339636757156,0.8201466036324293
2003-01-14,1,0,1,0.0,1.0,-1,-1.0,0.5912104386249638,0.40878956137503614
2003-01-20,1,1,0,1.0,0.0,1,1.0,0.149432856506557,0.8505671434934431
2003-02-06,1,1,0,1.0,0.0,1,1.0,0.2545287695785742,0.7454712304214267
2003-03-20,1,0,1,0.0,1.0,-1,-1.0,0.7567379024388443,0.24326209756115666
2003-04-02,1,1,0,1.0,0.0,1,1.0,0.34633629349047274,0.6536637065095268
2003-04-29,1,0,1,0.0,1.0,-1,-1.0,0.5408652637839816,0.4591347362160184
2003-05-06,1,0,1,0.0,1.0,-1,-1.0,0.866201719829829,0.13379828017017123
2003-05-28,1,1,0,1.0,0.0,1,1.0,0.19107820231583297,0.8089217976841668
2003-06-03,1,0,1,0.0,1.0,-1,-1.0,0.5951450275884846,0.4048549724115165
2003-06-24,1,0,1,0.0,1.0,-1,-1.0,0.7868638458744922,0.21313615412550693
2003-08-14,1,1,0,1.0,0.0,1,1.0,0.3392825583368018,0.6607174416631987
2003-09-14,1,1,0,1.0,0.0,1,1.0,0.45634757333552006,0.5436524266644804
2003-09-16,1,1,0,1.0,0.0,1,1.0,0.08870555941989762,0.9112944405801022
2003-10-09,1,1,0,1.0,0.0,1,1.0,0.4480705985424886,0.5519294014575098
2003-10-29,1,1,0,1.0,0.0,1,1.0,0.44199568468717737,0.5580043153128237
2003-11-05,1,0,1,0.0,1.0,-1,-1.0,0.7937151335429959,0.20628486645700506
2003-11-14,1,1,0,1.0,0.0,1,1.0,0.17654265159169893,0.8234573484082996
2003-11-19,1,1,0,1.0,0.0,1,1.0,0.2226956949994424,0.7773043050005569
2003-11-27,1,0,1,0.0,1.0,-1,-1.0,0.5717709519779814,0.4282290480220199
2003-12-29,1,1,0,1.0,0.0,1,1.0,0.35477672573498986,0.6452232742650118
2004-01-07,1,0,1,0.0,1.0,-1,-1.0,0.7031835938276231,0.2968164061723763
2004-01-30,1,1,0,1.0,0.0,1,1.0,0.036448443739341786,0.9635515562606585
2004-02-03,1,1,0,1.0,0.0,1,1.0,0.13484506786845185,0.8651549321315479
2004-02-25,1,1,0,1.0,0.0,1,1.0,0.4868905395222436,0.5131094604777575
2004-03-19,1,0,1,0.0,1.0,-1,-1.0,0.5785320172892147,0.421467982710785
2004-03-24,1,1,0,1.0,0.0,1,1.0,0.22593454088152637,0.7740654591184719
2004-03-26,1,0,1,0.0,1.0,-1,-1.0,0.6149860760773069,0.3850139239226936
2004-03-30,1,1,0,1.0,0.0,1,1.0,0.44246379508618344,0.5575362049138166
2004-04-06,1,0,1,0.0,1.0,-1,-1.0,0.5259447162791454,0.4740552837208547
2004-04-13,1,1,0,1.0,0.0,1,1.0,0.4334183596917546,0.5665816403082471
2004-04-19,1,1,0,1.0,0.0,1,1.0,0.46703488563065365,0.5329651143693455
2004-05-20,1,1,0,1.0,0.0,1,1.0,0.1761673703331751,0.823832629666826
2004-05-21,1,1,0,1.0,0.0,1,1.0,0.30575602559383025,0.6942439744061694
2004-06-04,1,1,0,1.0,0.0,1,1.0,0.17553462521536992,0.8244653747846297
2004-06-08,1,0,1,0.0,1.0,-1,-1.0,0.5152666169388344,0.4847333830611663
2004-06-18,1,1,0,1.0,0.0,1,1.0,0.14396449445336637,0.8560355055466334
2004-06-29,1,0,1,0.0,1.0,-1,-1.0,0.7050858562410997,0.2949141437589009
2004-07-01,1,0,1,0.0,1.0,-1,-1.0,0.5099202054997158,0.49007979450028516
2004-07-12,1,1,0,1.0,0.0,1,1.0,0.4601236189135943,0.5398763810864046
2004-07-15,1,1,0,1.0,0.0,1,1.0,0.05851129112319487,0.941488708876804
2004-07-26,1,0,1,0.0,1.0,-1,-1.0,0.5434183910816484,0.45658160891835115
2004-08-19,1,1,0,1.0,0.0,1,1.0,0.06923989263520525,0.9307601073647952
2004-08-31,1,1,0,1.0,0.0,1,1.0,0.46035089860834405,0.5396491013916569
2004-09-15,1,1,0,1.0,0.0,1,1.0,0.19765307900038523,0.8023469209996159
2004-09-24,1,1,0,1.0,0.0,1,1.0,0.2945391608590925,0.7054608391409074
2004-10-15,1,1,0,1.0,0.0,1,1.0,0.26643828277600223,0.7335617172239964
2004-10-19,1,1,0,1.0,0.0,1,1.0,0.19854441555591365,0.801455584444085
2004-10-20,1,1,0,1.0,0.0,1,1.0,0.4196700979599112,0.5803299020400876
2004-10-25,3,3,0,1.0,0.0,3,1.0,0.24656105909216755,0.7534389409078325
2004-10-27,1,0,1,0.0,1.0,-1,-1.0,0.7293568130071082,0.27064318699289236
2004-11-04,1,1,0,1.0,0.0,1,1.0,0.32284785657445814,0.6771521434255419
2004-11-15,1,1,0,1.0,0.0,1,1.0,0.1395102259188559,0.8604897740811451
2004-12-10,1,1,0,1.0,0.0,1,1.0,0.36236181466831446,0.6376381853316844
2005-01-11,2,1,1,0.5,0.5,0,0.0,0.38482417996023865,0.615175820039761
2005-01-12,1,0,1,0.0,1.0,-1,-1.0,0.8879579899971238,0.11204201000287663
2005-01-17,1,0,1,0.0,1.0,-1,-1.0,0.6506256835870026,0.34937431641299815
2005-01-18,2,1,1,0.5,0.5,0,0.0,0.48431057791036003,0.5156894220896404
